N_arv;UPA;UT;Nome_Cientifico;Nome_Popular;DAP_cm;Alt;Categoria;QF;Vol;g;lat;lon
40482;6;4;Castilla ulei;Caucho;83,72;12;Remanescente;1;5,1987;0,5504;-5,912029;-54,953589
40483;6;4;Lecythis pisonis;Sapucaia;228,86;21;Remanescente;2;31,038;4,1138;-5,914148;-54,953678
40484;6;4;Bertholletia excelsa;Castanheira;140,69;16;Remanescente;2;14,8499;1,5547;-5,913501;-54,953767
40485;6;4;Simarouba amara;Marupá;68,44;20;Remanescente;2;5,0861;0,3678;-5,913446;-54,95384
40486;6;4;Castilla ulei;Caucho;65,25;14;Remanescente;1;3,5459;0,3344;-5,913222;-54,953798
40487;6;4;Hymenolobium petraeum;Angelim-pedra;42,34;16;Remanescente;1;1,4237;0,1408;-5,913139;-54,953776
40488;6;4;Micropholis melinoniana;Currupixá;106,63;18;Remanescente;1;10,707;0,8931;-5,912227;-54,953759
40489;6;4;Couratari guianensis;Tauari;39,79;19;Remanescente;1;1,3749;0,1243;-5,910842;-54,9539
40490;6;4;Enterolobium spp.;Fava-timbaúba;51,25;20;Remanescente;1;2,6785;0,2063;-5,910819;-54,953931
40491;6;4;Vochysia maxima;Quaruba;52,2;15;Substituta;1;2,2676;0,214;-5,910816;-54,953876
40492;6;4;Bagassa guianensis;Tatajuba;76,71;21;Remanescente;1;6,6313;0,4622;-5,910112;-54,953794
40493;6;4;Manilkara elata;Maçaranduba;111,09;23;Explorar;1;13,6507;0,9693;-5,908973;-54,953781
40494;6;4;Manilkara elata;Maçaranduba;54,43;20;Explorar;1;3,0825;0,2327;-5,908469;-54,953787
40495;6;4;Buchenavia capitata;Tanibuca;73,85;21;Remanescente;1;6,1506;0,4283;-5,90843;-54,953874
40496;6;4;Manilkara elata;Maçaranduba;48,06;13;Remanescente;1;1,6752;0,1814;-5,908117;-54,953841
40497;6;4;Hymenolobium petraeum;Angelim-pedra;55,07;21;Explorar;1;3,2794;0,2382;-5,908046;-54,953773
40498;6;4;Hymenaea parvifolia;Jutaí-mirim;58,25;17;Explorar;1;3,1944;0,2665;-5,908665;-54,954069
40499;6;4;Cedrelinga cateniformis;Cedroarana;51,25;12;Substituta;1;1,8401;0,2063;-5,908642;-54,954009
40500;6;4;Goupia glabra;Cupiúba;94,54;13;Explorar;1;6,8767;0,7019;-5,908851;-54,954072
40501;6;4;Manilkara elata;Maçaranduba;69,71;20;Explorar;1;5,2832;0,3817;-5,909142;-54,954096
40502;6;4;Stryphnodendron paniculatum;Taxi-pitomba;72,89;16;Remanescente;1;4,9173;0,4173;-5,90993;-54,954142
