Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: 82861
Latitude: -8.25916666
Longitude: -49.26388888
Altitude: 179.02
Situacao: Operante
Data Inicial: 1984-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);
1984-11-01;0;26,46;97,75;
1984-11-02;,3;26,48;98,25;
1984-11-03;10,6;25,68;95;
1984-11-04;2,5;27,7;94,5;
1984-11-05;0;27,48;94,75;
1984-11-06;0;25,4;97,75;
1984-11-07;0;24,12;96,25;
1984-11-08;16,2;24,4;97;
1984-11-09;0;25,84;94;
1984-11-10;0;26,32;93,25;
1984-11-11;0;27,84;94,25;
1984-11-12;0;26,6;97,75;
1984-11-13;12;25,5;97,75;
1984-11-14;23,6;25,44;96;
1984-11-15;5,3;26,78;94,5;
1984-11-16;0;25,6;97,5;
1984-11-17;10,4;26,84;96;
1984-11-18;0;26,42;94,5;
1984-11-19;0;27,12;94,5;
1984-11-20;0;27,12;95,5;
1984-11-21;0;26,98;94;
1984-11-22;0;27,46;94,75;
1984-11-23;0;26,74;94,25;
1984-11-24;,6;26,46;92,25;
1984-11-25;0;25,4;93,75;
1984-11-26;1,3;26,56;96;
1984-11-27;0;25,88;94,5;
1984-11-28;0;24,54;99;
1984-11-29;5,9;25,16;96;
1984-11-30;0;25,98;95,25;
1984-12-01;0;26,04;97;
1984-12-02;1,6;25,28;98;
1984-12-03;1,2;25,96;96;
1984-12-04;0;27,32;95;
1984-12-05;0;27,52;95;
1984-12-06;0;26,32;94,5;
1984-12-07;0;27,08;94,5;
1984-12-08;51,1;25,46;95,75;
1984-12-09;,5;25,2;98,75;
1984-12-10;0;26,3;96,75;
1984-12-11;5,7;24,44;98,5;
1984-12-12;26,4;25,54;96,25;
1984-12-13;0;26,26;94,5;
1984-12-14;0;25,36;97;
1984-12-15;5,3;23,94;97,75;
1984-12-16;16,4;26,04;95,75;
1984-12-17;0;26,54;94,25;
1984-12-18;1;26,94;95;
1984-12-19;,8;28,66;93,25;
1984-12-20;0;26,1;95,25;
1984-12-21;0;25,4;95,5;
